Sample,Type,PET,IS,Temp,mz105
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,42.34528,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,44.86122,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,47.88353,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,51.44606,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,55.57487,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,60.23955,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,65.367,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,70.88209,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,76.70692,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,82.7643,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,88.99011,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,95.3285,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,101.71794,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,108.08424,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,114.36023,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,120.55446,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,126.71412,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,132.85125,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,138.91411,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,144.85189,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,150.66665,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,156.38239,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,161.99757,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,167.47364,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,172.78892,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,178.02766,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,183.30608,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,188.62959,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,193.87216,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,198.93979,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,203.90932,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,208.89896,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,213.92593,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,218.90976,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,223.80186,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,228.67762,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,233.63215,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,238.6536,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,243.64698,1.21E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,248.55095,1.21E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,253.40158,1.22E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,258.24858,1.22E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,263.10975,1.23E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,267.98248,1.23E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,272.86409,1.24E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,277.75247,1.24E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,282.64424,1.25E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,287.52417,1.25E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,292.37122,1.25E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,297.19347,1.25E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,302.05074,1.25E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,306.99749,1.25E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,312.011,1.24E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,317.03514,1.24E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,322.04528,1.23E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,327.06516,1.23E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,332.11192,1.22E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,337.14171,1.22E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,342.09062,1.21E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,346.95176,1.21E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,351.78758,1.21E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,356.65007,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,361.52444,1.20E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,366.37866,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,371.22495,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,376.12081,1.19E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,381.10387,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,386.13031,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,391.14023,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,396.12351,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,401.11244,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,406.12349,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,411.12043,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,416.05998,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,420.94047,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,425.79054,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,430.64132,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,435.52852,1.17E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,440.48408,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,445.49441,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,450.51928,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,455.53368,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,460.54403,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,465.5589,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,470.57415,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,475.57963,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,480.57284,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,485.56374,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,490.56275,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,495.57595,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,500.60723,1.18E-10
CleanRun af. 4.93% PET in LUFA soil sample,Clean run after,49.3,without,505.63903,1.18E-10
