Temp,TGA,mz33,PET,Cys
784.258,93.70682,1.22E-11,30.7,0
786.77002,93.69694,1.22E-11,30.7,0
789.25403,93.68953,1.22E-11,30.7,0
791.76898,93.6846,1.21E-11,30.7,0
794.31799,93.67966,1.2E-11,30.7,0
796.83801,93.66731,1.21E-11,30.7,0
799.328,93.66484,1.22E-11,30.7,0
801.79999,93.66484,1.22E-11,30.7,0
804.284,93.65002,1.21E-11,30.7,0
806.78802,93.64508,1.21E-11,30.7,0
809.36102,93.6352,1.22E-11,30.7,0
811.83899,93.62779,1.21E-11,30.7,0
814.30701,93.61791,1.21E-11,30.7,0
816.76099,93.60803,1.21E-11,30.7,0
819.23602,93.60803,1.22E-11,30.7,0
821.745,93.59815,1.21E-11,30.7,0
824.39899,93.59074,1.21E-11,30.7,0
826.914,93.58086,1.21E-11,30.7,0
829.33197,93.57592,1.22E-11,30.7,0
831.79401,93.57098,1.21E-11,30.7,0
834.28101,93.56604,1.21E-11,30.7,0
836.84399,93.55863,1.22E-11,30.7,0
839.31201,93.55122,1.22E-11,30.7,0
841.80103,93.53887,1.21E-11,30.7,0
844.32703,93.53146,1.21E-11,30.7,0
846.82397,93.52406,1.22E-11,30.7,0
849.315,93.51171,1.23E-11,30.7,0
851.836,93.50183,1.22E-11,30.7,0
854.297,93.49689,1.22E-11,30.7,0
856.854,93.49195,1.22E-11,30.7,0
859.367,93.47713,1.22E-11,30.7,0
861.84802,93.47713,1.22E-11,30.7,0
864.31403,93.46972,1.22E-11,30.7,0
866.86603,93.46725,1.21E-11,30.7,0
869.38501,93.44996,1.21E-11,30.7,0
871.91699,93.44502,1.22E-11,30.7,0
874.46503,93.44008,1.22E-11,30.7,0
876.92401,93.42773,1.21E-11,30.7,0
879.38397,93.41785,1.22E-11,30.7,0
882.008,93.41044,1.23E-11,30.7,0
884.57703,93.4055,1.25E-11,30.7,0
887.01398,93.39809,1.24E-11,30.7,0
889.46698,93.38574,1.22E-11,30.7,0
891.92499,93.3808,1.2E-11,30.7,0
894.427,93.37092,1.2E-11,30.7,0
896.89099,93.36598,1.22E-11,30.7,0
899.54401,93.35611,1.23E-11,30.7,0
902.07397,93.34623,1.23E-11,30.7,0
904.461,93.34376,1.23E-11,30.7,0
907.09497,93.33388,1.24E-11,30.7,0
909.56201,93.31412,1.23E-11,30.7,0
911.883,93.31412,1.21E-11,30.7,0
914.255,93.30918,1.21E-11,30.7,0
916.97998,93.30424,1.22E-11,30.7,0
919.61603,93.28695,1.23E-11,30.7,0
922.06201,93.28448,1.22E-11,30.7,0
924.526,93.27707,1.21E-11,30.7,0
927.02197,93.26719,1.21E-11,30.7,0
929.508,93.26719,1.22E-11,30.7,0
931.99799,93.26225,1.24E-11,30.7,0
934.492,93.24743,1.23E-11,30.7,0
936.99701,93.24249,1.21E-11,30.7,0
939.54602,93.23014,1.22E-11,30.7,0
942.047,93.22273,1.23E-11,30.7,0
944.44598,93.21285,1.23E-11,30.7,0
946.91602,93.21038,1.22E-11,30.7,0
949.48602,93.20544,1.21E-11,30.7,0
952.20599,93.19557,1.21E-11,30.7,0
954.60498,93.18569,1.2E-11,30.7,0
957.09802,93.18075,1.2E-11,30.7,0
959.51703,93.17828,1.21E-11,30.7,0
962.073,93.16346,1.22E-11,30.7,0
964.58398,93.15605,1.21E-11,30.7,0
967.05402,93.14123,1.21E-11,30.7,0
969.55499,93.13629,1.21E-11,30.7,0
972.05402,93.14123,1.22E-11,30.7,0
974.52197,93.12394,1.22E-11,30.7,0
977.04102,93.12147,1.22E-11,30.7,0
979.61401,93.119,1.23E-11,30.7,0
982.151,93.11159,1.24E-11,30.7,0
984.59601,93.10171,1.24E-11,30.7,0
987.052,93.0943,1.23E-11,30.7,0
989.51099,93.0943,1.23E-11,30.7,0
992.04498,93.07948,1.23E-11,30.7,0
994.62598,93.07948,1.23E-11,30.7,0
