Sample Name,Date,Soil,Polymer,Extraction procedure,Rep,Extract,Soil target,Soil mass,Target content,Target weight,Actual weight,Actual content,Interference target,Interference weight,Interference content,Dilution,Extraction Batch No
ZS-1052,2019-07-08,RefeSol 06-A,Polypropylene,TCB after MeOH rinse,1,8.02,4,3.99962,250,1,0.9998,249.973747506013,0,0,0,1,5
ZS-1053,2019-07-08,RefeSol 06-A,Polypropylene,TCB after MeOH rinse,2,8.02,4,3.9951,250,1,1,250.30662561638,0,0,0,1,5
ZS-1054,2019-07-08,RefeSol 06-A,Polypropylene,TCB after MeOH rinse,3,8.02,4,3.9975,250,1,1.0038,251.106941838649,0,0,0,1,5
ZS-1055,2019-07-25,Blank,Polypropylene,TCB after MeOH rinse,1,8.02,0,0,0,0,,#DIV/0!,0,0,#DIV/0!,1,
ZS-1056,2019-07-25,Blank,Polypropylene,TCB after MeOH rinse,2,8.02,0,0,0,0,,#DIV/0!,0,0,#DIV/0!,1,
ZS-1057,2019-07-25,Blank,Polypropylene,TCB after MeOH rinse,3,8.02,0,0,0,0,,#DIV/0!,0,0,#DIV/0!,1,
ZS-1058,2019-07-25,WR,Polypropylene,TCB after MeOH rinse,1,8.02,4,4.0074,0,0,,0,0,0,0,1,
ZS-1059,2019-07-25,WR,Polypropylene,TCB after MeOH rinse,2,8.02,4,4.0049,0,0,,0,0,0,0,1,
ZS-1060,2019-07-25,WR,Polypropylene,TCB after MeOH rinse,3,8.02,4,4.0017,0,0,,0,0,0,0,1,
ZS-1061,2019-07-25,WR,Polypropylene,TCB after MeOH rinse,1,8.02,4,3.9994,50,0.2,0.1923,48.075,0,0,0,1,
ZS-1062,2019-07-25,WR,Polypropylene,TCB after MeOH rinse,2,8.02,4,4.0049,50,0.2,0.2112,52.8,0,0,0,1,
ZS-1063,2019-07-25,WR,Polypropylene,TCB after MeOH rinse,3,8.02,4,4.0038,50,0.2,0.2094,52.35,0,0,0,1,
ZS-1064,2019-07-25,WR,Polypropylene,TCB after MeOH rinse,1,8.02,4,4.0064,250,1,1.058,264.5,0,0,0,1,
ZS-1065,2019-07-25,WR,Polypropylene,TCB after MeOH rinse,2,8.02,4,4.0035,250,1,1.02,255,0,0,0,1,
ZS-1066,2019-07-25,WR,Polypropylene,TCB after MeOH rinse,3,8.02,4,4.0057,250,1,1.0038,250.95,0,0,0,1,
ZS-1001,2019-07-03,RefeSol 06-A,Polystyrene,TCB,1,8.02,4,4.0072,0,0,0,0,0,0,0,1,2
ZS-1002,2019-07-03,RefeSol 06-A,Polystyrene,TCB,2,8.02,4,3.9911,0,0,0,0,0,0,0,1,2
ZS-1003,2019-07-03,RefeSol 06-A,Polystyrene,TCB,3,8.02,4,4.0045,0,0,0,0,0,0,0,1,1
ZS-1004,2019-07-03,RefeSol 06-A,Polystyrene,TCB,1,8.02,4,4.002,50,0,0.2035,50.8495752123938,0,0,0,1,1
ZS-1005,2019-07-03,RefeSol 06-A,Polystyrene,TCB,2,8.02,4,3.994,50,0,0.1953,48.8983475212819,0,0,0,1,1
ZS-1006,2019-07-03,RefeSol 06-A,Polystyrene,TCB,3,8.02,4,3.9993,50,0,0.1952,48.8085414947616,0,0,0,1,2
ZS-1007,2019-07-03,RefeSol 06-A,Polystyrene,TCB,1,8.02,4,3.9946,250,0,1.0009,250.563260401542,0,0,0,1,2
ZS-1008,2019-07-03,RefeSol 06-A,Polystyrene,TCB,2,8.02,4,3.998,250,0,1.0001,250.150075037519,0,0,0,1,2
ZS-1009,2019-07-03,RefeSol 06-A,Polystyrene,TCB,3,8.02,4,4.0052,250,0,0.9964,248.776590432438,0,0,0,1,2
ZS-1010,2019-07-03,LUFA 2.2,Polystyrene,TCB,1,8.02,4,4.0026,0,0,0,0,0,0,0,1,1
ZS-1011,2019-07-03,LUFA 2.2,Polystyrene,TCB,2,8.02,4,4.0096,0,0,0,0,0,0,0,1,3
ZS-1012,2019-07-03,LUFA 2.2,Polystyrene,TCB,3,8.02,4,4.0018,0,0,0,0,0,0,0,1,1
ZS-1013,2019-07-03,LUFA 2.2,Polystyrene,TCB,1,8.02,4,4.0087,50,0.2,0.2069,51.612742285529,0,0,0,1,4
ZS-1014,2019-07-03,LUFA 2.2,Polystyrene,TCB,2,8.02,4,3.992,50,0.2,0.2113,52.9308617234469,0,0,0,1,4
ZS-1015,2019-07-03,LUFA 2.2,Polystyrene,TCB,3,8.02,4,3.9969,50,0.2,0.2084,52.1404088168331,0,0,0,1,3
ZS-1016,2019-07-03,LUFA 2.2,Polystyrene,TCB,1,8.02,4,3.9974,250,1,0.9979,249.637264221744,0,0,0,1,1
ZS-1017,2019-07-03,LUFA 2.2,Polystyrene,TCB,2,8.02,4,4.0068,250,1,0.9849,245.8071278826,0,0,0,1,3
ZS-1018,2019-07-03,LUFA 2.2,Polystyrene,TCB,3,8.02,4,4.0008,250,1,0.9891,247.225554889022,0,0,0,1,3
ZS-1019,2019-07-03,WR,Polystyrene,TCB,1,8.02,4,4.0045,0,0,0,0,0,0,0,1,1
ZS-1020,2019-07-03,WR,Polystyrene,TCB,2,8.02,4,4.0052,0,0,0,0,0,0,0,1,2
ZS-1021,2019-07-03,WR,Polystyrene,TCB,3,8.02,4,4.0084,0,0,0,0,0,0,0,1,3
ZS-1022,2019-07-03,WR,Polystyrene,TCB,1,8.02,4,4.0065,50,0.2,0.1983,49.4945713216024,0,0,0,1,4
ZS-1023,2019-07-03,WR,Polystyrene,TCB,2,8.02,4,3.9946,50,0.2,0.2071,51.8449907374956,0,0,0,1,1
ZS-1024,2019-07-03,WR,Polystyrene,TCB,3,8.02,4,3.9984,50,0.2,0.2037,50.9453781512605,0,0,0,1,3
ZS-1025,2019-07-03,WR,Polystyrene,TCB,1,8.02,4,4.0061,250,1,0.9812,244.926487107162,0,0,0,1,3
ZS-1026,2019-07-03,WR,Polystyrene,TCB,2,8.02,4,3.9937,250,1,0.9915,248.266018979893,0,0,0,1,3
ZS-1027,2019-07-03,WR,Polystyrene,TCB,3,8.02,4,4.002,250,1,0.9975,249.250374812594,0,0,0,1,1
ZS-1028,2019-07-03,Blank,Polystyrene,TCB,1,8.02,0,0,0,0,0,,0,0,#DIV/0!,1,3
ZS-1029,2019-07-03,Blank,Polystyrene,TCB,2,8.02,0,0,0,0,0,,0,0,#DIV/0!,1,3
ZS-1030,2019-07-03,Blank,Polystyrene,TCB,3,8.02,0,0,0,0,0,,0,0,#DIV/0!,1,3
ZS-1031,2019-07-03,LUFA 2.2,Polystyrene,TCB,1,8.02,4,4.0014,0,0,0,0,0.2,0.1908,47.6833108412056,1,1
ZS-1032,2019-07-03,LUFA 2.2,Polystyrene,TCB,2,8.02,4,4.0004,0,0,0,0,0.2,0.2017,50.4199580041996,1,3
