Time,Intensity
23.681,69726425
23.702617,82360185
23.724217,31756815
23.7461,19237286
23.767717,7166072
23.791417,5352623
23.813033,5068530
23.8349,5129506
23.856517,5789508
23.878133,7495907
23.9,6747742
23.921617,6952072
23.9435,7057416
23.965117,7599929
23.986717,7517292
24.0086,7804936
24.030217,8560804
24.051833,8729280
24.0737,8642468
24.095317,8544719
24.1172,8469688
24.1388,8940292
24.160417,9274531
24.1823,9412506
24.203917,9548446
24.225533,9209273
24.2474,9845793
24.269017,9713360
24.290883,13719727
24.3125,12788194
24.334117,9587620
24.356,9247096
24.377617,9962261
24.399217,10102328
24.4211,10573827
24.442717,12369450
24.464583,70590417
24.4862,117002983
24.507817,79511963
24.5297,43960769
24.5513,20223848
24.573183,8686124
24.5948,7037490
24.616667,6953285
24.638283,7068662
24.6599,7094411
24.681517,9308166
24.703383,9847602
24.725,9560650
24.746883,10239808
24.7685,10786479
24.790367,13372104
24.811983,14469393
24.8336,13410663
24.855217,11868313
24.877083,10459145
24.8987,9828585
24.920583,10455371
24.9422,10440658
24.964067,11033998
24.985683,10652319
25.0073,11277772
25.028917,11413061
25.050783,12818759
25.0724,13983009
25.094283,11994929
25.115883,11631839
25.137767,11934332
25.159383,11851861
25.181,12672643
25.202617,12882918
25.224483,14389860
25.2461,80160691
25.267967,110093651
25.289583,90819960
25.311467,39356716
25.333083,21921422
25.3547,10294142
25.3763,8019013
25.398183,8515476
25.42005,10428408
25.441667,13475384
25.463283,17422278
25.485167,22312664
25.506783,23810451
25.528383,25487998
25.550267,36026968
25.571883,46900066
25.59375,56137768
25.615367,70858477
25.636983,60588872
25.658867,58640760
25.680467,50754581
25.702083,47496629
25.723967,37946678
25.745583,23143246
25.76745,16816679
25.789067,16112200
25.810683,11942237
25.83255,9896611
25.854167,9676647
25.875783,10350920
25.897667,11142498
25.919283,12728300
25.94115,13544909
25.962767,13707872
25.984383,20247043
26.00625,99578287
26.027867,79412158
26.049483,81761477
26.071367,23874650
26.092967,11674362
26.11485,9259065
26.136467,9371229
26.158083,9701788
26.17995,10077460
26.201567,11671098
26.223183,12948529
26.24505,14640499
26.266667,14931366
26.28855,16921076
26.310167,20476201
26.331783,17884065
26.35365,16252001
26.375267,15923063
26.396883,16456975
26.41875,16852180
26.440633,16515257
26.46225,16549989
26.483867,16112759
26.505467,16691332
26.52735,16318875
26.548967,18002529
26.570833,18254632
26.59245,18455925
26.614333,17556213
26.63595,17207391
26.65755,17884489
26.679167,19993175
26.70105,22564637
26.722667,73075056
26.744533,217092773
26.76615,193790766
26.788033,77207279
26.809633,22360532
26.83125,13768202
26.852867,12958804
26.87475,13548424
26.896367,14673861
26.918233,15217495
26.93985,19158558
26.961717,20804838
26.983333,22677093
27.00495,21104667
27.026567,20862036
27.04845,21146507
27.070317,19353455
27.091933,19418671
27.11355,19824723
27.135417,19882700
27.157033,18442757
27.17865,19478157
27.200533,23492034
27.222133,27588214
27.244017,25097944
27.265633,31527885
27.28725,36408870
27.309117,47494526
27.330733,65306339
27.35235,86442777
27.374217,106572697
27.395833,99003887
27.417717,65233367
27.439333,207025402
27.46095,453574336
27.482817,482193725
27.504433,81864183
27.5263,14135826
27.547917,12203803
27.5698,13650527
27.591417,15421648
27.613033,17359292
27.634633,22553811
27.656517,22607452
27.678133,20588063
27.7,20350410
27.721617,19914866
27.7435,20565858
27.765117,20095211
27.786717,20472010
27.808333,21826014
27.830217,21984512
27.851833,21679234
27.8737,23065110
27.895317,24455783
